impl_name,scenario,N,ns_per_op
sec4,MIXED_R30W70,1000,29.6
std_vector,MIXED_R30W70,1000,13.4
std_vector_direct,MIXED_R30W70,1000,9.7
go_slice_int64,MIXED_R30W70,10000,0.0
numpy_int64,MIXED_R30W70,10000,979.35
py_array_q,MIXED_R30W70,10000,835.9
py_list,MIXED_R30W70,10000,782.71
rust_vec_i64,MIXED_R30W70,10000,6.68
sec3,MIXED_R30W70,10000,35.01
sec4,MIXED_R30W70,10000,31.92
std_vector,MIXED_R30W70,10000,14.24
std_vector_direct,MIXED_R30W70,10000,9.85
go_slice_int64,MIXED_R30W70,100000,20.043
numpy_int64,MIXED_R30W70,100000,1176.728
py_array_q,MIXED_R30W70,100000,756.55
py_list,MIXED_R30W70,100000,904.902
rust_vec_i64,MIXED_R30W70,100000,6.186
sec3,MIXED_R30W70,100000,48.489
sec4,MIXED_R30W70,100000,41.009
std_vector,MIXED_R30W70,100000,23.159
std_vector_direct,MIXED_R30W70,100000,11.701
go_slice_int64,MIXED_R30W70,1000000,43.099
numpy_int64,MIXED_R30W70,1000000,951.5638
py_array_q,MIXED_R30W70,1000000,834.3259
py_list,MIXED_R30W70,1000000,1241.8023
rust_vec_i64,MIXED_R30W70,1000000,16.7722
sec3,MIXED_R30W70,1000000,99.3811
sec4,MIXED_R30W70,1000000,81.2731
std_vector,MIXED_R30W70,1000000,35.2398
std_vector_direct,MIXED_R30W70,1000000,24.4637
go_slice_int64,MIXED_R30W70,10000000,63.1582
numpy_int64,MIXED_R30W70,10000000,939.6927
py_array_q,MIXED_R30W70,10000000,850.2309
py_list,MIXED_R30W70,10000000,917.0285
rust_vec_i64,MIXED_R30W70,10000000,23.0008
sec3,MIXED_R30W70,10000000,87.803
sec4,MIXED_R30W70,10000000,175.424
std_vector,MIXED_R30W70,10000000,37.448
std_vector_direct,MIXED_R30W70,10000000,28.4427
go_slice_int64,MIXED_R30W70,100000000,165.4526
numpy_int64,MIXED_R30W70,100000000,1101.7463
py_array_q,MIXED_R30W70,100000000,969.1428
py_list,MIXED_R30W70,100000000,1094.5022
rust_vec_i64,MIXED_R30W70,100000000,28.8141
sec3,MIXED_R30W70,100000000,82.0452
sec4,MIXED_R30W70,100000000,146.7926
std_vector,MIXED_R30W70,100000000,43.3433
std_vector_direct,MIXED_R30W70,100000000,34.7844
go_slice_int64,MIXED_R50W50,1000,0.0
numpy_int64,MIXED_R50W50,1000,758.3
py_array_q,MIXED_R50W50,1000,611.9
py_list,MIXED_R50W50,1000,547.5
rust_vec_i64,MIXED_R50W50,1000,6.7
sec3,MIXED_R50W50,1000,28.3
sec4,MIXED_R50W50,1000,29.5
std_vector,MIXED_R50W50,1000,14.3
std_vector_direct,MIXED_R50W50,1000,11.1
go_slice_int64,MIXED_R50W50,10000,0.0
numpy_int64,MIXED_R50W50,10000,739.68
py_array_q,MIXED_R50W50,10000,819.82
py_list,MIXED_R50W50,10000,584.42
rust_vec_i64,MIXED_R50W50,10000,7.16
sec3,MIXED_R50W50,10000,34.02
sec4,MIXED_R50W50,10000,30.81
std_vector,MIXED_R50W50,10000,14.82
std_vector_direct,MIXED_R50W50,10000,9.99
go_slice_int64,MIXED_R50W50,100000,20.0
numpy_int64,MIXED_R50W50,100000,912.757
py_array_q,MIXED_R50W50,100000,618.94
py_list,MIXED_R50W50,100000,744.171
rust_vec_i64,MIXED_R50W50,100000,6.917
sec3,MIXED_R50W50,100000,34.266
sec4,MIXED_R50W50,100000,39.207
std_vector,MIXED_R50W50,100000,14.27
std_vector_direct,MIXED_R50W50,100000,9.692
